Country,product,Year,qty_thousands,price_per_thousands,US_inflation_adjusted_price,country_category
France,paper bag,2020,134.17228346456693,255.26999999999998,258.40982099999997,EU
France,plastic bag,2020,544.61,36.47,36.918580999999996,EU
Germany,textile bag,2020,0.16054,3820.0,3866.986,EU
Germany,paper bag,2020,1110.6525984251969,222.25,224.983675,EU
Germany,plastic bag,2020,1387.25,33.46,33.871558,EU
Greece,paper bag,2020,2.9513385826771654,307.34,311.120282,EU
Greece,plastic bag,2020,1.5,7.54,7.6327419999999995,EU
Hungary,textile bag,2020,0.00020999999999999998,32330.0,32727.659,EU
Hungary,paper bag,2020,3.515748031496063,394.96999999999997,399.828131,EU
Hungary,plastic bag,2020,0.99,34.51,34.934473,EU
India,textile bag,2020,1.52731,2140.0,2166.322,India
India,paper bag,2020,238.93259842519683,127.63499999999999,129.20491049999998,India
India,plastic bag,2020,9320.65,7.93,8.027538999999999,India
Ireland,textile bag,2020,0.00017999999999999998,2000.0,2024.6,EU
Ireland,paper bag,2020,28.873385826771653,111.76,113.134648,EU
Ireland,plastic bag,2020,332.34,2.14,2.166322,EU
Italy,textile bag,2020,0.08763,26920.0,27251.115999999998,EU
Italy,paper bag,2020,177.20629921259842,220.98,223.69805399999998,EU
Italy,plastic bag,2020,201.8,7.52,7.612495999999999,EU
Latvia,paper bag,2020,0.04566929133858268,1670.685,1691.2344254999998,EU
Lithuania,textile bag,2020,0.00025,15460.0,15650.158,EU
Lithuania,paper bag,2020,0.20393700787401572,708.66,717.3765179999999,EU
Luxembourg,paper bag,2020,0.10314960629921259,612.775,620.3121325,EU
Netherlands,textile bag,2020,0.00992,5040.0,5101.992,EU
Netherlands,paper bag,2020,147.78787401574803,166.37,168.416351,EU
Netherlands,plastic bag,2020,145.65,20.82,21.076086,EU
Poland,textile bag,2020,0.00349,33760.0,34175.248,EU
Poland,paper bag,2020,135.48818897637796,210.185,212.7702755,EU
Poland,plastic bag,2020,22.48,51.76,52.396648,EU
Portugal,textile bag,2020,0.0030499999999999998,11900.0,12046.369999999999,EU
Portugal,paper bag,2020,69.45937007874016,150.495,152.3460885,EU
